0.00.058.231 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.059.643 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.061.881 W srv  llama_server: -----------------
0.00.061.886 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.061.887 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.061.887 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.061.888 W srv  llama_server: -----------------
0.00.063.655 I srv    load_model: loading model '/mnt/dados/Assistente Pessoal/modelos LLM/Qwen3.5-35B-A3B-UD-IQ3_XXS.gguf'
2.01.469.152 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
2.01.527.031 I srv  llama_server: model loaded
2.01.527.063 I srv  llama_server: listening on http://127.0.0.1:8083
50.31.670.140 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
50.31.670.465 I slot launch_slot_: id  0 | task 88 | processing task, is_child = 0
50.37.000.231 I slot print_timing: id  0 | task 88 | prompt processing, n_tokens =     32, progress = 0.89, t =   5.33 s / 6.00 tokens per second
50.37.776.797 I slot print_timing: id  0 | task 88 | prompt eval time =    5470.64 ms /    36 tokens (  151.96 ms per token,     6.58 tokens per second)
50.37.776.804 I slot print_timing: id  0 | task 88 |        eval time =     635.64 ms /    12 tokens (   52.97 ms per token,    18.88 tokens per second)
50.37.776.805 I slot print_timing: id  0 | task 88 |       total time =    6106.28 ms /    48 tokens
50.37.776.810 I slot print_timing: id  0 | task 88 |    graphs reused =         11
50.37.777.276 I slot      release: id  0 | task 88 | stop processing: n_tokens = 47, truncated = 0
50.37.821.801 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6500951419
50.37.872.755 I slot launch_slot_: id  0 | task 102 | processing task, is_child = 0
50.43.532.431 I slot print_timing: id  0 | task 102 | prompt eval time =    1118.77 ms /    52 tokens (   21.51 ms per token,    46.48 tokens per second)
50.43.532.438 I slot print_timing: id  0 | task 102 |        eval time =    4540.87 ms /    73 tokens (   62.20 ms per token,    16.08 tokens per second)
50.43.532.439 I slot print_timing: id  0 | task 102 |       total time =    5659.64 ms /   125 tokens
50.43.532.476 I slot print_timing: id  0 | task 102 |    graphs reused =         82
50.43.532.948 I slot      release: id  0 | task 102 | stop processing: n_tokens = 124, truncated = 0
50.43.572.295 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6506707092
50.43.625.435 I slot launch_slot_: id  0 | task 177 | processing task, is_child = 0
50.47.255.208 I slot print_timing: id  0 | task 177 | prompt eval time =     933.14 ms /    46 tokens (   20.29 ms per token,    49.30 tokens per second)
50.47.255.215 I slot print_timing: id  0 | task 177 |        eval time =    2696.59 ms /    45 tokens (   59.92 ms per token,    16.69 tokens per second)
50.47.255.216 I slot print_timing: id  0 | task 177 |       total time =    3629.73 ms /    91 tokens
50.47.255.217 I slot print_timing: id  0 | task 177 |    graphs reused =        125
50.47.255.542 I slot      release: id  0 | task 177 | stop processing: n_tokens = 90, truncated = 0
50.47.296.505 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6510429685
50.47.348.048 I slot launch_slot_: id  0 | task 224 | processing task, is_child = 0
50.52.593.099 I slot print_timing: id  0 | task 224 | prompt eval time =    1150.05 ms /    72 tokens (   15.97 ms per token,    62.61 tokens per second)
50.52.593.106 I slot print_timing: id  0 | task 224 |        eval time =    4094.96 ms /    71 tokens (   57.68 ms per token,    17.34 tokens per second)
50.52.593.107 I slot print_timing: id  0 | task 224 |       total time =    5245.01 ms /   143 tokens
50.52.593.109 I slot print_timing: id  0 | task 224 |    graphs reused =        194
50.52.593.608 I slot      release: id  0 | task 224 | stop processing: n_tokens = 142, truncated = 0
50.52.631.640 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6515767752
50.52.696.272 I slot launch_slot_: id  0 | task 297 | processing task, is_child = 0
50.55.208.463 I slot print_timing: id  0 | task 297 | prompt eval time =     522.80 ms /    32 tokens (   16.34 ms per token,    61.21 tokens per second)
50.55.208.470 I slot print_timing: id  0 | task 297 |        eval time =    1989.35 ms /    28 tokens (   71.05 ms per token,    14.07 tokens per second)
50.55.208.472 I slot print_timing: id  0 | task 297 |       total time =    2512.15 ms /    60 tokens
50.55.208.474 I slot print_timing: id  0 | task 297 |    graphs reused =        220
