0.00.049.094 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.051.919 W srv  llama_server: -----------------
0.00.051.924 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.051.924 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.051.925 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.051.925 W srv  llama_server: -----------------
0.00.053.534 I srv    load_model: loading model '/mnt/dados/Assistente Pessoal/modelos LLM/LFM2.5-1.2B-Thinking-ToMoE-Q4_K_M.gguf'
0.17.315.933 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 128000, kv_unified = 'false'
0.17.323.866 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.17.323.980 I srv  llama_server: model loaded
0.17.323.995 I srv  llama_server: listening on http://127.0.0.1:9086
47.50.674.699 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
47.50.674.994 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
47.55.558.443 I slot print_timing: id  0 | task 0 | prompt eval time =    2396.93 ms /    36 tokens (   66.58 ms per token,    15.02 tokens per second)
47.55.558.450 I slot print_timing: id  0 | task 0 |        eval time =    2486.45 ms /    60 tokens (   41.44 ms per token,    24.13 tokens per second)
47.55.558.452 I slot print_timing: id  0 | task 0 |       total time =    4883.38 ms /    96 tokens
47.55.558.457 I slot print_timing: id  0 | task 0 |    graphs reused =         59
47.55.558.742 I slot      release: id  0 | task 0 | stop processing: n_tokens = 95, truncated = 0
47.55.575.793 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6338763029
47.55.576.706 I slot launch_slot_: id  0 | task 62 | processing task, is_child = 0
47.59.935.806 I slot print_timing: id  0 | task 62 | prompt eval time =     241.40 ms /    51 tokens (    4.73 ms per token,   211.27 tokens per second)
47.59.935.815 I slot print_timing: id  0 | task 62 |        eval time =    4117.57 ms /   100 tokens (   41.18 ms per token,    24.29 tokens per second)
47.59.935.817 I slot print_timing: id  0 | task 62 |       total time =    4358.96 ms /   151 tokens
47.59.935.819 I slot print_timing: id  0 | task 62 |    graphs reused =        157
47.59.936.127 I slot      release: id  0 | task 62 | stop processing: n_tokens = 150, truncated = 0
47.59.950.563 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6343140414
47.59.951.248 I slot launch_slot_: id  0 | task 164 | processing task, is_child = 0
48.04.375.860 I slot print_timing: id  0 | task 164 | n_decoded =    100, tg =  23.94 t/s, tg_3s =  23.94 t/s
48.05.204.084 I slot print_timing: id  0 | task 164 | prompt eval time =     247.00 ms /    48 tokens (    5.15 ms per token,   194.34 tokens per second)
48.05.204.094 I slot print_timing: id  0 | task 164 |        eval time =    5005.80 ms /   120 tokens (   41.72 ms per token,    23.97 tokens per second)
48.05.204.096 I slot print_timing: id  0 | task 164 |       total time =    5252.80 ms /   168 tokens
48.05.204.098 I slot print_timing: id  0 | task 164 |    graphs reused =        275
48.05.204.449 I slot      release: id  0 | task 164 | stop processing: n_tokens = 167, truncated = 0
48.05.217.896 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6348408736
48.05.218.984 I slot launch_slot_: id  0 | task 286 | processing task, is_child = 0
48.09.573.942 I slot print_timing: id  0 | task 286 | n_decoded =    100, tg =  24.15 t/s, tg_3s =  24.15 t/s
