0.00.060.733 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.063.786 W srv  llama_server: -----------------
0.00.063.791 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.063.792 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.063.792 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.063.793 W srv  llama_server: -----------------
0.00.065.452 I srv    load_model: loading model '/mnt/dados/Assistente Pessoal/modelos LLM/Llama-3.2-1B-Instruct-IQ4_XS.gguf'
0.15.904.990 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.15.920.219 I srv  llama_server: model loaded
0.15.920.228 I srv  llama_server: listening on http://127.0.0.1:9088
47.02.037.892 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
47.02.038.367 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
47.02.474.705 I slot print_timing: id  0 | task 0 | prompt eval time =     369.97 ms /    59 tokens (    6.27 ms per token,   159.47 tokens per second)
47.02.474.711 I slot print_timing: id  0 | task 0 |        eval time =      66.31 ms /    12 tokens (    5.53 ms per token,   180.95 tokens per second)
47.02.474.712 I slot print_timing: id  0 | task 0 |       total time =     436.29 ms /    71 tokens
47.02.474.718 I slot print_timing: id  0 | task 0 |    graphs reused =         11
47.02.475.546 I slot      release: id  0 | task 0 | stop processing: n_tokens = 70, truncated = 0
47.02.499.526 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.380 (> 0.100 thold), f_keep = 0.429
47.02.507.845 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
47.02.698.626 I slot print_timing: id  0 | task 13 | prompt eval time =      80.05 ms /    49 tokens (    1.63 ms per token,   612.16 tokens per second)
47.02.698.633 I slot print_timing: id  0 | task 13 |        eval time =     110.70 ms /    17 tokens (    6.51 ms per token,   153.56 tokens per second)
47.02.698.634 I slot print_timing: id  0 | task 13 |       total time =     190.75 ms /    66 tokens
47.02.698.635 I slot print_timing: id  0 | task 13 |    graphs reused =         26
47.02.699.306 I slot      release: id  0 | task 13 | stop processing: n_tokens = 95, truncated = 0
47.02.719.067 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.405 (> 0.100 thold), f_keep = 0.316
47.02.721.740 I slot launch_slot_: id  0 | task 31 | processing task, is_child = 0
47.02.902.403 I slot print_timing: id  0 | task 31 | prompt eval time =      73.83 ms /    44 tokens (    1.68 ms per token,   595.97 tokens per second)
47.02.902.410 I slot print_timing: id  0 | task 31 |        eval time =     106.81 ms /    20 tokens (    5.34 ms per token,   187.26 tokens per second)
47.02.902.411 I slot print_timing: id  0 | task 31 |       total time =     180.63 ms /    64 tokens
47.02.902.413 I slot print_timing: id  0 | task 31 |    graphs reused =         44
47.02.902.723 I slot      release: id  0 | task 31 | stop processing: n_tokens = 93, truncated = 0
47.02.921.724 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.330 (> 0.100 thold), f_keep = 0.323
47.02.924.751 I slot launch_slot_: id  0 | task 52 | processing task, is_child = 0
47.03.125.591 I slot print_timing: id  0 | task 52 | prompt eval time =      87.39 ms /    61 tokens (    1.43 ms per token,   697.99 tokens per second)
47.03.125.598 I slot print_timing: id  0 | task 52 |        eval time =     113.42 ms /    27 tokens (    4.20 ms per token,   238.05 tokens per second)
47.03.125.600 I slot print_timing: id  0 | task 52 |       total time =     200.82 ms /    88 tokens
47.03.125.601 I slot print_timing: id  0 | task 52 |    graphs reused =         69
47.03.126.048 I slot      release: id  0 | task 52 | stop processing: n_tokens = 117, truncated = 0
47.03.141.894 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.536 (> 0.100 thold), f_keep = 0.256
47.03.145.490 I slot launch_slot_: id  0 | task 80 | processing task, is_child = 0
47.03.333.507 I slot print_timing: id  0 | task 80 | prompt eval time =      43.63 ms /    26 tokens (    1.68 ms per token,   595.85 tokens per second)
47.03.333.515 I slot print_timing: id  0 | task 80 |        eval time =     144.36 ms /    34 tokens (    4.25 ms per token,   235.53 tokens per second)
