0.00.064.429 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.068.069 W srv  llama_server: -----------------
0.00.068.078 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.068.079 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.068.081 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.068.082 W srv  llama_server: -----------------
0.00.069.676 I srv    load_model: loading model '/mnt/dados/Assistente Pessoal/modelos LLM/Llama-3.2-3B-Instruct-UD-IQ3_XXS.gguf'
0.30.793.819 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.30.816.926 I srv  llama_server: model loaded
0.30.816.984 I srv  llama_server: listening on http://127.0.0.1:9090
47.11.127.320 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
47.11.127.589 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
47.16.270.815 I slot print_timing: id  0 | task 0 | prompt eval time =    4095.43 ms /    59 tokens (   69.41 ms per token,    14.41 tokens per second)
47.16.270.822 I slot print_timing: id  0 | task 0 |        eval time =    1047.74 ms /    12 tokens (   87.31 ms per token,    11.45 tokens per second)
47.16.270.823 I slot print_timing: id  0 | task 0 |       total time =    5143.17 ms /    71 tokens
47.16.270.828 I slot print_timing: id  0 | task 0 |    graphs reused =         11
47.16.271.705 I slot      release: id  0 | task 0 | stop processing: n_tokens = 70, truncated = 0
47.16.295.328 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.380 (> 0.100 thold), f_keep = 0.429
47.16.297.287 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
47.19.242.989 I slot print_timing: id  0 | task 13 | prompt eval time =     334.02 ms /    49 tokens (    6.82 ms per token,   146.70 tokens per second)
47.19.242.998 I slot print_timing: id  0 | task 13 |        eval time =    2611.65 ms /    27 tokens (   96.73 ms per token,    10.34 tokens per second)
47.19.242.999 I slot print_timing: id  0 | task 13 |       total time =    2945.67 ms /    76 tokens
47.19.243.000 I slot print_timing: id  0 | task 13 |    graphs reused =         36
47.19.243.606 I slot      release: id  0 | task 13 | stop processing: n_tokens = 105, truncated = 0
47.19.263.838 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.405 (> 0.100 thold), f_keep = 0.286
47.19.265.573 I slot launch_slot_: id  0 | task 41 | processing task, is_child = 0
47.20.249.338 I slot print_timing: id  0 | task 41 | prompt eval time =     345.04 ms /    44 tokens (    7.84 ms per token,   127.52 tokens per second)
47.20.249.349 I slot print_timing: id  0 | task 41 |        eval time =     638.69 ms /     7 tokens (   91.24 ms per token,    10.96 tokens per second)
47.20.249.350 I slot print_timing: id  0 | task 41 |       total time =     983.73 ms /    51 tokens
47.20.249.354 I slot print_timing: id  0 | task 41 |    graphs reused =         41
47.20.250.007 I slot      release: id  0 | task 41 | stop processing: n_tokens = 80, truncated = 0
47.20.269.740 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.330 (> 0.100 thold), f_keep = 0.375
47.20.270.945 I slot launch_slot_: id  0 | task 49 | processing task, is_child = 0
47.28.424.310 I slot print_timing: id  0 | task 49 | prompt eval time =     366.88 ms /    61 tokens (    6.01 ms per token,   166.27 tokens per second)
47.28.424.318 I slot print_timing: id  0 | task 49 |        eval time =    7786.46 ms /    82 tokens (   94.96 ms per token,    10.53 tokens per second)
47.28.424.320 I slot print_timing: id  0 | task 49 |       total time =    8153.34 ms /   143 tokens
47.28.424.321 I slot print_timing: id  0 | task 49 |    graphs reused =        121
47.28.424.809 I slot      release: id  0 | task 49 | stop processing: n_tokens = 172, truncated = 0
47.28.440.806 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.536 (> 0.100 thold), f_keep = 0.174
47.28.444.269 I slot launch_slot_: id  0 | task 132 | processing task, is_child = 0
47.34.430.411 I slot print_timing: id  0 | task 132 | prompt eval time =    1189.00 ms /    26 tokens (   45.73 ms per token,    21.87 tokens per second)
47.34.430.422 I slot print_timing: id  0 | task 132 |        eval time =    4797.11 ms /    52 tokens (   92.25 ms per token,    10.84 tokens per second)
47.34.430.424 I slot print_timing: id  0 | task 132 |       total time =    5986.11 ms /    78 tokens
47.34.430.425 I slot print_timing: id  0 | task 132 |    graphs reused =        171
47.34.430.606 I slot      release: id  0 | task 132 | stop processing: n_tokens = 107, truncated = 0
47.34.449.627 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.361 (> 0.100 thold), f_keep = 0.280
47.34.451.402 I slot launch_slot_: id  0 | task 185 | processing task, is_child = 0
47.36.722.782 I slot print_timing: id  0 | task 185 | prompt eval time =     342.38 ms /    53 tokens (    6.46 ms per token,   154.80 tokens per second)
47.36.722.792 I slot print_timing: id  0 | task 185 |        eval time =    1928.97 ms /    21 tokens (   91.86 ms per token,    10.89 tokens per second)
47.36.722.794 I slot print_timing: id  0 | task 185 |       total time =    2271.34 ms /    74 tokens
47.36.722.797 I slot print_timing: id  0 | task 185 |    graphs reused =        190
47.36.723.369 I slot      release: id  0 | task 185 | stop processing: n_tokens = 103, truncated = 0
47.36.741.432 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.417 (> 0.100 thold), f_keep = 0.291
47.36.743.576 I slot launch_slot_: id  0 | task 207 | processing task, is_child = 0
47.38.691.644 I slot print_timing: id  0 | task 207 | prompt eval time =     324.85 ms /    38 tokens (    8.55 ms per token,   116.98 tokens per second)
47.38.691.651 I slot print_timing: id  0 | task 207 |        eval time =    1623.15 ms /    18 tokens (   90.18 ms per token,    11.09 tokens per second)
47.38.691.675 I slot print_timing: id  0 | task 207 |       total time =    1948.00 ms /    56 tokens
47.38.691.678 I slot print_timing: id  0 | task 207 |    graphs reused =        206
47.38.691.771 I slot      release: id  0 | task 207 | stop processing: n_tokens = 89, truncated = 0
56.15.291.648 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6321936594
56.15.299.018 I slot launch_slot_: id  0 | task 226 | processing task, is_child = 0
56.21.794.253 I slot print_timing: id  0 | task 226 | prompt eval time =    5291.60 ms /    24 tokens (  220.48 ms per token,     4.54 tokens per second)
56.21.794.261 I slot print_timing: id  0 | task 226 |        eval time =    1203.60 ms /    12 tokens (  100.30 ms per token,     9.97 tokens per second)
56.21.794.263 I slot print_timing: id  0 | task 226 |       total time =    6495.20 ms /    36 tokens
56.21.794.265 I slot print_timing: id  0 | task 226 |    graphs reused =        216
56.21.794.303 I slot      release: id  0 | task 226 | stop processing: n_tokens = 36, truncated = 0
56.21.807.106 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.132 (> 0.100 thold), f_keep = 0.139
56.21.807.577 I slot launch_slot_: id  0 | task 239 | processing task, is_child = 0
56.23.863.869 I slot print_timing: id  0 | task 239 | prompt eval time =     373.54 ms /    33 tokens (   11.32 ms per token,    88.34 tokens per second)
56.23.863.919 I slot print_timing: id  0 | task 239 |        eval time =    1682.72 ms /    18 tokens (   93.48 ms per token,    10.70 tokens per second)
56.23.863.923 I slot print_timing: id  0 | task 239 |       total time =    2056.26 ms /    51 tokens
56.23.863.924 I slot print_timing: id  0 | task 239 |    graphs reused =        232
56.23.863.954 I slot      release: id  0 | task 239 | stop processing: n_tokens = 55, truncated = 0
93.06.903.667 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6847108773
93.06.908.683 I slot launch_slot_: id  0 | task 258 | processing task, is_child = 0
93.09.283.773 I slot print_timing: id  0 | task 258 | prompt eval time =    1258.83 ms /   117 tokens (   10.76 ms per token,    92.94 tokens per second)
93.09.283.783 I slot print_timing: id  0 | task 258 |        eval time =    1116.23 ms /    12 tokens (   93.02 ms per token,    10.75 tokens per second)
93.09.283.785 I slot print_timing: id  0 | task 258 |       total time =    2375.05 ms /   129 tokens
93.09.283.786 I slot print_timing: id  0 | task 258 |    graphs reused =        242
93.09.285.014 I slot      release: id  0 | task 258 | stop processing: n_tokens = 153, truncated = 0
