0.00.061.242 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.063.367 W srv  llama_server: -----------------
0.00.063.373 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.063.374 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.063.374 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.063.374 W srv  llama_server: -----------------
0.00.065.182 I srv    load_model: loading model '/mnt/dados/Assistente Pessoal/modelos LLM/smollm2-1.7b-instruct-q4_k_m.gguf'
0.17.871.832 W llama_context: n_ctx_seq (32768) > n_ctx_train (8192) -- possible training context overflow
0.21.079.024 W srv    load_model: the slot context (32768) exceeds the training context of the model (8192) - capping
0.22.032.371 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.22.042.395 I srv  llama_server: model loaded
0.22.042.408 I srv  llama_server: listening on http://127.0.0.1:9092
46.23.020.680 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
46.23.021.022 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
46.27.580.506 I slot print_timing: id  0 | task 0 | prompt eval time =    3615.35 ms /    59 tokens (   61.28 ms per token,    16.32 tokens per second)
46.27.580.518 I slot print_timing: id  0 | task 0 |        eval time =     944.07 ms /    13 tokens (   72.62 ms per token,    13.77 tokens per second)
46.27.580.520 I slot print_timing: id  0 | task 0 |       total time =    4559.41 ms /    72 tokens
46.27.580.529 I slot print_timing: id  0 | task 0 |    graphs reused =         12
46.27.581.885 I slot      release: id  0 | task 0 | stop processing: n_tokens = 71, truncated = 0
46.27.599.818 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.316 (> 0.100 thold), f_keep = 0.338
46.27.602.908 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
46.31.324.865 I slot print_timing: id  0 | task 14 | prompt eval time =     383.17 ms /    52 tokens (    7.37 ms per token,   135.71 tokens per second)
46.31.324.875 I slot print_timing: id  0 | task 14 |        eval time =    3338.76 ms /    48 tokens (   69.56 ms per token,    14.38 tokens per second)
46.31.324.877 I slot print_timing: id  0 | task 14 |       total time =    3721.92 ms /   100 tokens
46.31.324.927 I slot print_timing: id  0 | task 14 |    graphs reused =         58
46.31.325.369 I slot      release: id  0 | task 14 | stop processing: n_tokens = 123, truncated = 0
46.31.341.103 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.333 (> 0.100 thold), f_keep = 0.195
46.31.345.431 I slot launch_slot_: id  0 | task 63 | processing task, is_child = 0
46.37.910.161 I slot print_timing: id  0 | task 63 | n_decoded =    100, tg =  15.94 t/s, tg_3s =  15.94 t/s
46.39.160.369 I slot print_timing: id  0 | task 63 | prompt eval time =     290.31 ms /    48 tokens (    6.05 ms per token,   165.34 tokens per second)
46.39.160.376 I slot print_timing: id  0 | task 63 |        eval time =    7524.59 ms /   120 tokens (   62.70 ms per token,    15.95 tokens per second)
46.39.160.377 I slot print_timing: id  0 | task 63 |       total time =    7814.90 ms /   168 tokens
46.39.160.378 I slot print_timing: id  0 | task 63 |    graphs reused =        176
46.39.160.659 I slot      release: id  0 | task 63 | stop processing: n_tokens = 191, truncated = 0
46.39.175.133 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.233 (> 0.100 thold), f_keep = 0.126
46.39.180.062 I slot launch_slot_: id  0 | task 184 | processing task, is_child = 0
46.41.748.700 I slot print_timing: id  0 | task 184 | prompt eval time =     329.88 ms /    79 tokens (    4.18 ms per token,   239.48 tokens per second)
46.41.748.707 I slot print_timing: id  0 | task 184 |        eval time =    2238.72 ms /    36 tokens (   62.19 ms per token,    16.08 tokens per second)
46.41.748.709 I slot print_timing: id  0 | task 184 |       total time =    2568.60 ms /   115 tokens
46.41.748.749 I slot print_timing: id  0 | task 184 |    graphs reused =        210
46.41.749.057 I slot      release: id  0 | task 184 | stop processing: n_tokens = 138, truncated = 0
46.41.762.093 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.453 (> 0.100 thold), f_keep = 0.174
46.41.766.604 I slot launch_slot_: id  0 | task 221 | processing task, is_child = 0
46.44.478.455 I slot print_timing: id  0 | task 221 | prompt eval time =     243.65 ms /    29 tokens (    8.40 ms per token,   119.02 tokens per second)
46.44.478.464 I slot print_timing: id  0 | task 221 |        eval time =    2468.17 ms /    40 tokens (   61.70 ms per token,    16.21 tokens per second)
46.44.478.465 I slot print_timing: id  0 | task 221 |       total time =    2711.82 ms /    69 tokens
46.44.478.466 I slot print_timing: id  0 | task 221 |    graphs reused =        248
46.44.478.616 I slot      release: id  0 | task 221 | stop processing: n_tokens = 92, truncated = 0
46.44.492.351 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.282 (> 0.100 thold), f_keep = 0.261
46.44.494.349 I slot launch_slot_: id  0 | task 262 | processing task, is_child = 0
46.51.268.811 I slot print_timing: id  0 | task 262 | n_decoded =    100, tg =  15.43 t/s, tg_3s =  15.43 t/s
46.52.617.153 I slot print_timing: id  0 | task 262 | prompt eval time =     295.56 ms /    61 tokens (    4.85 ms per token,   206.39 tokens per second)
46.52.617.164 I slot print_timing: id  0 | task 262 |        eval time =    7827.21 ms /   121 tokens (   64.69 ms per token,    15.46 tokens per second)
46.52.617.166 I slot print_timing: id  0 | task 262 |       total time =    8122.77 ms /   182 tokens
46.52.617.216 I slot print_timing: id  0 | task 262 |    graphs reused =        367
46.52.617.606 I slot      release: id  0 | task 262 | stop processing: n_tokens = 205, truncated = 0
46.52.630.957 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.308 (> 0.100 thold), f_keep = 0.117
46.52.637.842 I slot launch_slot_: id  0 | task 384 | processing task, is_child = 0
46.54.556.235 I slot print_timing: id  0 | task 384 | prompt eval time =     287.11 ms /    47 tokens (    6.11 ms per token,   163.70 tokens per second)
46.54.556.248 I slot print_timing: id  0 | task 384 |        eval time =    1631.25 ms /    27 tokens (   60.42 ms per token,    16.55 tokens per second)
46.54.556.250 I slot print_timing: id  0 | task 384 |       total time =    1918.35 ms /    74 tokens
46.54.556.252 I slot print_timing: id  0 | task 384 |    graphs reused =        392
46.54.556.419 I slot      release: id  0 | task 384 | stop processing: n_tokens = 104, truncated = 0
56.06.137.918 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6277817651
56.06.141.978 I slot launch_slot_: id  0 | task 412 | processing task, is_child = 0
56.11.867.418 I slot print_timing: id  0 | task 412 | prompt eval time =    4864.62 ms /    29 tokens (  167.75 ms per token,     5.96 tokens per second)
56.11.867.425 I slot print_timing: id  0 | task 412 |        eval time =     860.78 ms /    13 tokens (   66.21 ms per token,    15.10 tokens per second)
56.11.867.426 I slot print_timing: id  0 | task 412 |       total time =    5725.40 ms /    42 tokens
56.11.867.429 I slot print_timing: id  0 | task 412 |    graphs reused =        403
56.11.867.485 I slot      release: id  0 | task 412 | stop processing: n_tokens = 41, truncated = 0
56.11.877.107 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.146 (> 0.100 thold), f_keep = 0.171
56.11.877.757 I slot launch_slot_: id  0 | task 426 | processing task, is_child = 0
56.14.246.543 I slot print_timing: id  0 | task 426 | prompt eval time =     336.15 ms /    41 tokens (    8.20 ms per token,   121.97 tokens per second)
56.14.246.551 I slot print_timing: id  0 | task 426 |        eval time =    2032.60 ms /    31 tokens (   65.57 ms per token,    15.25 tokens per second)
56.14.246.552 I slot print_timing: id  0 | task 426 |       total time =    2368.75 ms /    72 tokens
56.14.246.553 I slot print_timing: id  0 | task 426 |    graphs reused =        432
56.14.246.582 I slot      release: id  0 | task 426 | stop processing: n_tokens = 78, truncated = 0
92.26.997.318 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6837507810
92.27.000.473 I slot launch_slot_: id  0 | task 458 | processing task, is_child = 0
92.28.579.221 I slot print_timing: id  0 | task 458 | prompt eval time =     785.56 ms /   140 tokens (    5.61 ms per token,   178.22 tokens per second)
92.28.579.232 I slot print_timing: id  0 | task 458 |        eval time =     793.14 ms /    13 tokens (   61.01 ms per token,    16.39 tokens per second)
92.28.579.234 I slot print_timing: id  0 | task 458 |       total time =    1578.71 ms /   153 tokens
92.28.579.236 I slot print_timing: id  0 | task 458 |    graphs reused =        443
92.28.579.834 I slot      release: id  0 | task 458 | stop processing: n_tokens = 152, truncated = 0
92.28.593.920 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.669 (> 0.100 thold), f_keep = 0.691
92.28.593.992 I slot launch_slot_: id  0 | task 472 | processing task, is_child = 0
92.32.296.124 I slot print_timing: id  0 | task 472 | prompt eval time =     297.02 ms /    52 tokens (    5.71 ms per token,   175.07 tokens per second)
92.32.296.136 I slot print_timing: id  0 | task 472 |        eval time =    3405.07 ms /    51 tokens (   66.77 ms per token,    14.98 tokens per second)
92.32.296.138 I slot print_timing: id  0 | task 472 |       total time =    3702.09 ms /   103 tokens
92.32.296.140 I slot print_timing: id  0 | task 472 |    graphs reused =        492
92.32.296.315 I slot      release: id  0 | task 472 | stop processing: n_tokens = 207, truncated = 0
92.32.310.899 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.686 (> 0.100 thold), f_keep = 0.507
92.32.310.993 I slot launch_slot_: id  0 | task 524 | processing task, is_child = 0
92.36.700.900 I slot print_timing: id  0 | task 524 | prompt eval time =     309.69 ms /    48 tokens (    6.45 ms per token,   154.99 tokens per second)
92.36.700.909 I slot print_timing: id  0 | task 524 |        eval time =    4080.18 ms /    63 tokens (   64.76 ms per token,    15.44 tokens per second)
92.36.700.910 I slot print_timing: id  0 | task 524 |       total time =    4389.87 ms /   111 tokens
92.36.700.911 I slot print_timing: id  0 | task 524 |    graphs reused =        553
92.36.701.043 I slot      release: id  0 | task 524 | stop processing: n_tokens = 215, truncated = 0
92.36.714.605 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.571 (> 0.100 thold), f_keep = 0.488
92.36.723.728 I slot launch_slot_: id  0 | task 588 | processing task, is_child = 0
92.39.561.399 I slot print_timing: id  0 | task 588 | prompt eval time =     340.19 ms /    79 tokens (    4.31 ms per token,   232.22 tokens per second)
92.39.561.406 I slot print_timing: id  0 | task 588 |        eval time =    2497.42 ms /    40 tokens (   62.44 ms per token,    16.02 tokens per second)
92.39.561.407 I slot print_timing: id  0 | task 588 |       total time =    2837.61 ms /   119 tokens
92.39.561.408 I slot print_timing: id  0 | task 588 |    graphs reused =        591
92.39.561.453 I slot      release: id  0 | task 588 | stop processing: n_tokens = 223, truncated = 0
92.39.575.304 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.784 (> 0.100 thold), f_keep = 0.471
92.39.583.058 I slot launch_slot_: id  0 | task 629 | processing task, is_child = 0
92.40.532.940 I slot print_timing: id  0 | task 629 | prompt eval time =     284.81 ms /    29 tokens (    9.82 ms per token,   101.82 tokens per second)
92.40.532.953 I slot print_timing: id  0 | task 629 |        eval time =     665.03 ms /    11 tokens (   60.46 ms per token,    16.54 tokens per second)
92.40.532.955 I slot print_timing: id  0 | task 629 |       total time =     949.84 ms /    40 tokens
92.40.532.957 I slot print_timing: id  0 | task 629 |    graphs reused =        600
92.40.533.018 I slot      release: id  0 | task 629 | stop processing: n_tokens = 144, truncated = 0
92.40.551.256 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.633 (> 0.100 thold), f_keep = 0.729
92.40.551.331 I slot launch_slot_: id  0 | task 641 | processing task, is_child = 0
92.47.917.956 I slot print_timing: id  0 | task 641 | n_decoded =    100, tg =  14.16 t/s, tg_3s =  14.16 t/s
92.50.953.828 I slot print_timing: id  0 | task 641 | n_decoded =    143, tg =  14.16 t/s, tg_3s =  14.16 t/s
92.51.026.911 I slot print_timing: id  0 | task 641 | prompt eval time =     305.62 ms /    61 tokens (    5.01 ms per token,   199.59 tokens per second)
92.51.026.920 I slot print_timing: id  0 | task 641 |        eval time =   10169.93 ms /   144 tokens (   70.62 ms per token,    14.16 tokens per second)
92.51.026.921 I slot print_timing: id  0 | task 641 |       total time =   10475.55 ms /   205 tokens
92.51.026.923 I slot print_timing: id  0 | task 641 |    graphs reused =        741
92.51.027.037 I slot      release: id  0 | task 641 | stop processing: n_tokens = 309, truncated = 0
92.51.039.908 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.660 (> 0.100 thold), f_keep = 0.340
92.51.047.425 I slot launch_slot_: id  0 | task 786 | processing task, is_child = 0
92.52.920.118 I slot print_timing: id  0 | task 786 | prompt eval time =     295.07 ms /    54 tokens (    5.46 ms per token,   183.01 tokens per second)
92.52.920.126 I slot print_timing: id  0 | task 786 |        eval time =    1577.59 ms /    25 tokens (   63.10 ms per token,    15.85 tokens per second)
92.52.920.128 I slot print_timing: id  0 | task 786 |       total time =    1872.65 ms /    79 tokens
92.52.920.129 I slot print_timing: id  0 | task 786 |    graphs reused =        764
92.52.920.228 I slot      release: id  0 | task 786 | stop processing: n_tokens = 183, truncated = 0
735.31.667.410 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 9036181457
735.31.707.740 I slot launch_slot_: id  0 | task 812 | processing task, is_child = 0
735.36.244.762 I slot print_timing: id  0 | task 812 | prompt eval time =    3744.66 ms /    28 tokens (  133.74 ms per token,     7.48 tokens per second)
735.36.244.782 I slot print_timing: id  0 | task 812 |        eval time =     792.18 ms /    13 tokens (   60.94 ms per token,    16.41 tokens per second)
735.36.244.784 I slot print_timing: id  0 | task 812 |       total time =    4536.84 ms /    41 tokens
735.36.244.788 I slot print_timing: id  0 | task 812 |    graphs reused =        775
735.36.245.786 I slot      release: id  0 | task 812 | stop processing: n_tokens = 71, truncated = 0
735.58.629.057 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.397 (> 0.100 thold), f_keep = 0.437
735.58.636.889 I slot launch_slot_: id  0 | task 826 | processing task, is_child = 0
736.01.020.714 I slot print_timing: id  0 | task 826 | prompt eval time =     739.70 ms /    47 tokens (   15.74 ms per token,    63.54 tokens per second)
736.01.020.721 I slot print_timing: id  0 | task 826 |        eval time =    1644.09 ms /    27 tokens (   60.89 ms per token,    16.42 tokens per second)
736.01.020.722 I slot print_timing: id  0 | task 826 |       total time =    2383.79 ms /    74 tokens
736.01.020.724 I slot print_timing: id  0 | task 826 |    graphs reused =        800
736.01.021.141 I slot      release: id  0 | task 826 | stop processing: n_tokens = 104, truncated = 0
