0.00.072.057 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.076.237 W srv  llama_server: -----------------
0.00.076.251 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.076.252 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.076.253 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.076.253 W srv  llama_server: -----------------
0.00.078.060 I srv    load_model: loading model '/mnt/dados/Assistente Pessoal/modelos LLM/SmolLM2-360M-Instruct-Q8_0.gguf'
0.07.496.043 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.07.502.690 I srv  llama_server: model loaded
0.07.502.718 I srv  llama_server: listening on http://127.0.0.1:9093
43.01.135.657 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
43.01.135.954 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
43.01.391.554 I slot print_timing: id  0 | task 0 | prompt eval time =     193.52 ms /    59 tokens (    3.28 ms per token,   304.88 tokens per second)
43.01.391.561 I slot print_timing: id  0 | task 0 |        eval time =      62.03 ms /    13 tokens (    4.77 ms per token,   209.56 tokens per second)
43.01.391.563 I slot print_timing: id  0 | task 0 |       total time =     255.56 ms /    72 tokens
43.01.391.568 I slot print_timing: id  0 | task 0 |    graphs reused =         12
43.01.392.470 I slot      release: id  0 | task 0 | stop processing: n_tokens = 71, truncated = 0
43.01.408.521 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.316 (> 0.100 thold), f_keep = 0.338
43.01.415.317 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
43.01.747.204 I slot print_timing: id  0 | task 14 | prompt eval time =      29.91 ms /    52 tokens (    0.58 ms per token,  1738.43 tokens per second)
43.01.747.211 I slot print_timing: id  0 | task 14 |        eval time =     301.95 ms /    83 tokens (    3.64 ms per token,   274.88 tokens per second)
43.01.747.212 I slot print_timing: id  0 | task 14 |       total time =     331.86 ms /   135 tokens
43.01.747.213 I slot print_timing: id  0 | task 14 |    graphs reused =         93
43.01.747.711 I slot      release: id  0 | task 14 | stop processing: n_tokens = 158, truncated = 0
43.01.762.035 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.333 (> 0.100 thold), f_keep = 0.152
43.01.767.408 I slot launch_slot_: id  0 | task 98 | processing task, is_child = 0
43.01.958.965 I slot print_timing: id  0 | task 98 | prompt eval time =      32.68 ms /    48 tokens (    0.68 ms per token,  1468.74 tokens per second)
43.01.958.972 I slot print_timing: id  0 | task 98 |        eval time =     158.85 ms /    44 tokens (    3.61 ms per token,   276.99 tokens per second)
43.01.958.974 I slot print_timing: id  0 | task 98 |       total time =     191.53 ms /    92 tokens
43.01.958.975 I slot print_timing: id  0 | task 98 |    graphs reused =        135
43.01.959.000 I slot      release: id  0 | task 98 | stop processing: n_tokens = 115, truncated = 0
43.01.972.795 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.233 (> 0.100 thold), f_keep = 0.209
43.01.977.528 I slot launch_slot_: id  0 | task 143 | processing task, is_child = 0
43.02.278.595 I slot print_timing: id  0 | task 143 | prompt eval time =      30.39 ms /    79 tokens (    0.38 ms per token,  2599.97 tokens per second)
43.02.278.601 I slot print_timing: id  0 | task 143 |        eval time =     270.66 ms /    75 tokens (    3.61 ms per token,   277.10 tokens per second)
43.02.278.602 I slot print_timing: id  0 | task 143 |       total time =     301.04 ms /   154 tokens
43.02.278.603 I slot print_timing: id  0 | task 143 |    graphs reused =        208
43.02.278.890 I slot      release: id  0 | task 143 | stop processing: n_tokens = 177, truncated = 0
43.02.291.444 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.453 (> 0.100 thold), f_keep = 0.136
43.02.297.283 I slot launch_slot_: id  0 | task 219 | processing task, is_child = 0
43.02.388.395 I slot print_timing: id  0 | task 219 | prompt eval time =      37.35 ms /    29 tokens (    1.29 ms per token,   776.40 tokens per second)
43.02.388.401 I slot print_timing: id  0 | task 219 |        eval time =      53.73 ms /    15 tokens (    3.58 ms per token,   279.16 tokens per second)
43.02.388.402 I slot print_timing: id  0 | task 219 |       total time =      91.08 ms /    44 tokens
43.02.388.403 I slot print_timing: id  0 | task 219 |    graphs reused =        221
43.02.388.613 I slot      release: id  0 | task 219 | stop processing: n_tokens = 67, truncated = 0
43.02.402.151 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.282 (> 0.100 thold), f_keep = 0.358
43.02.406.867 I slot launch_slot_: id  0 | task 235 | processing task, is_child = 0
43.02.983.179 I slot print_timing: id  0 | task 235 | prompt eval time =      32.22 ms /    61 tokens (    0.53 ms per token,  1893.00 tokens per second)
43.02.983.187 I slot print_timing: id  0 | task 235 |        eval time =     544.06 ms /   150 tokens (    3.63 ms per token,   275.70 tokens per second)
43.02.983.188 I slot print_timing: id  0 | task 235 |       total time =     576.29 ms /   211 tokens
43.02.983.189 I slot print_timing: id  0 | task 235 |    graphs reused =        369
43.02.983.526 I slot      release: id  0 | task 235 | stop processing: n_tokens = 234, truncated = 0
43.02.996.490 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.308 (> 0.100 thold), f_keep = 0.103
43.03.002.212 I slot launch_slot_: id  0 | task 386 | processing task, is_child = 0
43.03.159.871 I slot print_timing: id  0 | task 386 | prompt eval time =      32.12 ms /    47 tokens (    0.68 ms per token,  1463.45 tokens per second)
43.03.159.877 I slot print_timing: id  0 | task 386 |        eval time =     125.50 ms /    35 tokens (    3.59 ms per token,   278.90 tokens per second)
43.03.159.893 I slot print_timing: id  0 | task 386 |       total time =     157.61 ms /    82 tokens
43.03.159.895 I slot print_timing: id  0 | task 386 |    graphs reused =        402
43.03.160.000 I slot      release: id  0 | task 386 | stop processing: n_tokens = 112, truncated = 0
56.05.608.097 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6046444527
56.05.665.636 I slot launch_slot_: id  0 | task 422 | processing task, is_child = 0
56.05.940.804 I slot print_timing: id  0 | task 422 | prompt eval time =     179.03 ms /    29 tokens (    6.17 ms per token,   161.99 tokens per second)
56.05.940.810 I slot print_timing: id  0 | task 422 |        eval time =      96.10 ms /    13 tokens (    7.39 ms per token,   135.27 tokens per second)
56.05.940.811 I slot print_timing: id  0 | task 422 |       total time =     275.13 ms /    42 tokens
56.05.940.814 I slot print_timing: id  0 | task 422 |    graphs reused =        413
56.05.940.839 I slot      release: id  0 | task 422 | stop processing: n_tokens = 41, truncated = 0
56.05.951.313 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.146 (> 0.100 thold), f_keep = 0.171
56.05.955.095 I slot launch_slot_: id  0 | task 436 | processing task, is_child = 0
56.06.103.551 I slot print_timing: id  0 | task 436 | prompt eval time =      40.14 ms /    41 tokens (    0.98 ms per token,  1021.37 tokens per second)
56.06.103.593 I slot print_timing: id  0 | task 436 |        eval time =     108.29 ms /    25 tokens (    4.33 ms per token,   230.86 tokens per second)
56.06.103.596 I slot print_timing: id  0 | task 436 |       total time =     148.43 ms /    66 tokens
56.06.103.597 I slot print_timing: id  0 | task 436 |    graphs reused =        436
56.06.103.621 I slot      release: id  0 | task 436 | stop processing: n_tokens = 72, truncated = 0
86.58.804.195 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6829388146
86.58.865.643 I slot launch_slot_: id  0 | task 462 | processing task, is_child = 0
86.59.246.060 I slot print_timing: id  0 | task 462 | prompt eval time =     305.22 ms /   140 tokens (    2.18 ms per token,   458.68 tokens per second)
86.59.246.067 I slot print_timing: id  0 | task 462 |        eval time =      75.16 ms /    20 tokens (    3.76 ms per token,   266.10 tokens per second)
86.59.246.068 I slot print_timing: id  0 | task 462 |       total time =     380.38 ms /   160 tokens
86.59.246.069 I slot print_timing: id  0 | task 462 |    graphs reused =        454
86.59.246.715 I slot      release: id  0 | task 462 | stop processing: n_tokens = 159, truncated = 0
86.59.260.575 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.669 (> 0.100 thold), f_keep = 0.660
86.59.260.652 I slot launch_slot_: id  0 | task 483 | processing task, is_child = 0
86.59.679.958 I slot print_timing: id  0 | task 483 | prompt eval time =      32.94 ms /    52 tokens (    0.63 ms per token,  1578.53 tokens per second)
86.59.679.966 I slot print_timing: id  0 | task 483 |        eval time =     386.34 ms /   100 tokens (    3.86 ms per token,   258.84 tokens per second)
86.59.679.967 I slot print_timing: id  0 | task 483 |       total time =     419.28 ms /   152 tokens
86.59.680.003 I slot print_timing: id  0 | task 483 |    graphs reused =        552
