         32236: (6.61965,17.8118,26.1555,255) #07121AFF srgba(2.59594%,6.985%,10.2571%,1)
         16455: (2.12241,46.1379,77.8427,255) #022E4EFF srgba(0.832319%,18.0933%,30.5265%,1)
          6319: (90.7204,91.1326,94.6111,255) #5B5B5FFF srgba(35.5766%,35.7383%,37.1024%,1)
          3404: (167.96,171.112,179.077,255) #A8ABB3FF srgba(65.8667%,67.1029%,70.2264%,1)
          3146: (0.00340226,117.188,201.34,255) #0075C9FF srgba(0.00133422%,45.956%,78.957%,1)
          1434: (101.134,134.886,163.107,255) #6587A3FF srgba(39.6603%,52.8966%,63.9636%,1)
          1348: (21.3861,68.9114,104.017,255) #154568FF srgba(8.3867%,27.0241%,40.791%,1)
          1194: (21.9262,98.7579,155.125,255) #16639BFF srgba(8.59852%,38.7286%,60.8332%,1)
         33022: (10.0817,14.0758,15.7641) #0A0E10 srgb(3.9536%,5.51991%,6.182%)
          4007: (71.9992,73.8462,55.4928) #484A37 srgb(28.235%,28.9593%,21.7619%)
          3606: (96.6911,96.7652,92.6049) #61615D srgb(37.9181%,37.9471%,36.3156%)
          2979: (161.038,160.636,157.545) #A1A19E srgb(63.1522%,62.9946%,61.7823%)
          2900: (223.306,222.933,221.496) #DFDFDD srgb(87.5709%,87.4248%,86.861%)
          1769: (203.834,202.463,177.51) #CCCAB2 srgb(79.9348%,79.3971%,69.6119%)
           369: (126.095,127.874,110.307) #7E806E srgb(49.4491%,50.1468%,43.2577%)
           244: (142.064,141.476,114.409) #8E8D72 srgb(55.7114%,55.4807%,44.8662%)
         30474: (10.163,11.7347,11.6612) #0A0C0C srgb(3.98548%,4.60185%,4.573%)
          4628: (71.2026,73.4522,52.6167) #474935 srgb(27.9226%,28.8048%,20.634%)
          3047: (92.7739,92.5758,91.8374) #5D5D5C srgb(36.3819%,36.3042%,36.0147%)
          1842: (161.94,158.476,157.023) #A29E9D srgb(63.5057%,62.1475%,61.5775%)
          1774: (223.414,220.646,221.158) #DFDDDD srgb(87.6135%,86.5279%,86.7286%)
          1319: (201.834,198.59,177.858) #CAC7B2 srgb(79.1506%,77.8784%,69.7484%)
           382: (125.881,125.804,106.439) #7E7E6A srgb(49.3651%,49.3348%,41.7407%)
           310: (156.775,156.62,92.7686) #9D9D5D srgb(61.4806%,61.4195%,36.3799%)
== logo cortado.psd
         40572: (254.55,254.551,254.411,255) #FFFFFEFF srgba(99.8236%,99.8238%,99.769%,1)
          1668: (14.0537,14.1052,13.7405,255) #0E0E0EFF srgba(5.51125%,5.53146%,5.38844%,1)
          1299: (46.7987,46.868,46.3289,255) #2F2F2EFF srgba(18.3524%,18.3796%,18.1682%,1)
          1188: (207.722,207.743,206.931,255) #D0D0CFFF srgba(81.4597%,81.4678%,81.1494%,1)
          1084: (79.9072,79.9578,79.1303,255) #50504FFF srgba(31.3362%,31.356%,31.0315%,1)
          1024: (143.93,143.975,143.066,255) #90908FFF srgba(56.4431%,56.4608%,56.1042%,1)
           961: (112.395,112.44,111.81,255) #707070FF srgba(44.0764%,44.0942%,43.847%,1)
           950: (176.264,176.305,175.498,255) #B0B0AFFF srgba(69.1231%,69.139%,68.8227%,1)
           827: (243.611,243.941,209.966,255) #F4F4D2FF srgba(95.5335%,95.6631%,82.3397%,1)
           383: (85.0216,85.8503,40.0582,255) #555628FF srgba(33.3418%,33.6668%,15.7091%,1)
           345: (172.05,172.38,144.759,255) #ACAC91FF srgba(67.4704%,67.5999%,56.7682%,1)
           300: (108.183,108.548,80.8079,255) #6C6D51FF srgba(42.4246%,42.5678%,31.6894%,1)
== avatar logo.png
         50155: (1.95773,10.8545,18.6631,255) #020B13FF srgba(0.767736%,4.25666%,7.31887%,1)
          9496: (4.89915,24.2458,39.7483,255) #051828FF srgba(1.92124%,9.50815%,15.5876%,1)
          4024: (46.3617,45.2659,46.6592,255) #2E2D2FFF srgba(18.1811%,17.7513%,18.2977%,1)
          3540: (39.8026,29.6361,26.1403,255) #281E1AFF srgba(15.6089%,11.622%,10.2511%,1)
          3096: (14.5749,36.9422,53.4228,255) #0F2535FF srgba(5.71563%,14.4872%,20.9501%,1)
          2921: (79.5227,76.6631,77.5571,255) #504D4EFF srgba(31.1854%,30.0639%,30.4145%,1)
          2841: (107.132,98.8694,98.1411,255) #6B6362FF srgba(42.0125%,38.7723%,38.4867%,1)
          2652: (10.6229,48.4033,75.1472,255) #0B304BFF srgba(4.16585%,18.9817%,29.4695%,1)
          2278: (163.485,151.225,149.483,255) #A39795FF srgba(64.1116%,59.3038%,58.6207%,1)
          1987: (38.9721,74.3849,98.8964,255) #274A63FF srgba(15.2832%,29.1706%,38.7829%,1)
          1854: (34.8584,59.0345,78.341,255) #233B4EFF srgba(13.6699%,23.1508%,30.722%,1)
          1433: (74.0976,59.2864,54.2245,255) #4A3B36FF srgba(29.0579%,23.2496%,21.2645%,1)
== logo 0.png
         37673: (2.97999,2.93279,3.22325,255) #030303FF srgba(1.16862%,1.15011%,1.26402%,1)
          2389: (243.058,243.098,241.784,255) #F3F3F2FF srgba(95.3169%,95.3327%,94.8172%,1)
          2041: (43.5024,42.919,21.1416,255) #2C2B15FF srgba(17.0597%,16.831%,8.29084%,1)
          1474: (47.3839,46.7705,46.007,255) #2F2F2EFF srgba(18.5819%,18.3414%,18.042%,1)
          1224: (209.225,209.222,209.228,255) #D1D1D1FF srgba(82.0489%,82.048%,82.0502%,1)
          1031: (142.811,142.772,142.774,255) #8F8F8FFF srgba(56.0044%,55.9891%,55.9898%,1)
          1010: (79.8073,79.3339,79.6434,255) #504F50FF srgba(31.297%,31.1113%,31.2327%,1)
           993: (111.312,111.075,111.282,255) #6F6F6FFF srgba(43.6518%,43.5587%,43.64%,1)
           935: (175.232,175.233,175.212,255) #AFAFAFFF srgba(68.7182%,68.7187%,68.7105%,1)
           732: (234.582,234.566,208.374,255) #EBEBD0FF srgba(91.9929%,91.9866%,81.7152%,1)
           632: (103.792,99.2899,89.965,255) #68635AFF srgba(40.7029%,38.9372%,35.2804%,1)
           467: (163.339,163.803,73.8675,255) #A3A44AFF srgba(64.0544%,64.2366%,28.9677%,1)
