0.00.096.265 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.097.617 W srv  llama_server: -----------------
0.00.097.621 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.097.621 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.097.621 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.097.622 W srv  llama_server: -----------------
0.00.098.965 I srv    load_model: loading model '/mnt/dados/Assistente Pessoal/modelos LLM/filtragem/Qwen3.8-27B-UD-IQ1_S.gguf'
0.22.836.527 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.22.932.551 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.22.932.643 I srv  llama_server: model loaded
0.22.932.662 I srv  llama_server: listening on http://127.0.0.1:9096
0.30.320.317 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.30.329.199 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.33.657.671 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =     42, progress = 0.55, t =   3.33 s / 12.62 tokens per second
0.42.316.126 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =     72, progress = 0.95, t =  11.99 s / 6.01 tokens per second
1.13.785.261 I slot print_timing: id  0 | task 0 | prompt eval time =   13431.51 ms /    76 tokens (  176.73 ms per token,     5.66 tokens per second)
1.13.785.272 I slot print_timing: id  0 | task 0 |        eval time =   30023.52 ms /    60 tokens (  500.39 ms per token,     2.00 tokens per second)
1.13.785.274 I slot print_timing: id  0 | task 0 |       total time =   43455.03 ms /   136 tokens
1.13.794.750 I slot print_timing: id  0 | task 0 |    graphs reused =         59
1.13.816.981 I slot      release: id  0 | task 0 | stop processing: n_tokens = 135, truncated = 0
1.13.885.685 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.489 (> 0.100 thold), f_keep = 0.333
1.14.726.379 I slot launch_slot_: id  0 | task 63 | processing task, is_child = 0
2.08.331.048 I slot print_timing: id  0 | task 63 | prompt eval time =    4271.50 ms /    50 tokens (   85.43 ms per token,    11.71 tokens per second)
2.08.331.057 I slot print_timing: id  0 | task 63 |        eval time =   49333.04 ms /   100 tokens (  493.33 ms per token,     2.03 tokens per second)
2.08.331.075 I slot print_timing: id  0 | task 63 |       total time =   53604.54 ms /   150 tokens
2.08.331.077 I slot print_timing: id  0 | task 63 |    graphs reused =        157
2.08.332.269 I slot      release: id  0 | task 63 | stop processing: n_tokens = 191, truncated = 0
2.08.407.324 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.523 (> 0.100 thold), f_keep = 0.236
2.10.322.822 I slot launch_slot_: id  0 | task 165 | processing task, is_child = 0
2.13.667.127 I slot print_timing: id  0 | task 165 | prompt processing, n_tokens =     40, progress = 0.95, t =   3.34 s / 11.96 tokens per second
3.05.126.513 I slot print_timing: id  0 | task 165 | n_decoded =    100, tg =   2.00 t/s, tg_3s =   2.00 t/s
3.08.128.339 I slot print_timing: id  0 | task 165 | n_decoded =    106, tg =   2.00 t/s, tg_3s =   1.98 t/s
3.11.529.799 I slot print_timing: id  0 | task 165 | n_decoded =    113, tg =   2.01 t/s, tg_3s =   2.06 t/s
3.14.940.542 I slot print_timing: id  0 | task 165 | prompt eval time =    4894.13 ms /    44 tokens (  111.23 ms per token,     8.99 tokens per second)
3.14.940.555 I slot print_timing: id  0 | task 165 |        eval time =   59723.54 ms /   120 tokens (  497.70 ms per token,     2.01 tokens per second)
3.14.940.557 I slot print_timing: id  0 | task 165 |       total time =   64617.67 ms /   164 tokens
3.14.940.572 I slot print_timing: id  0 | task 165 |    graphs reused =        275
3.14.942.863 I slot      release: id  0 | task 165 | stop processing: n_tokens = 205, truncated = 0
3.15.063.529 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.402 (> 0.100 thold), f_keep = 0.220
3.18.863.631 I slot launch_slot_: id  0 | task 287 | processing task, is_child = 0
3.22.461.502 I slot print_timing: id  0 | task 287 | prompt processing, n_tokens =     66, progress = 0.96, t =   3.60 s / 18.34 tokens per second
4.12.363.305 I slot print_timing: id  0 | task 287 | n_decoded =    100, tg =   2.07 t/s, tg_3s =   2.07 t/s
4.15.793.309 I slot print_timing: id  0 | task 287 | n_decoded =    107, tg =   2.07 t/s, tg_3s =   2.03 t/s
4.19.213.394 I slot print_timing: id  0 | task 287 | n_decoded =    114, tg =   2.07 t/s, tg_3s =   2.05 t/s
