(lsfg-vk) [ERROR]: Failed to initialize global info:
(lsfg-vk) [ERROR]: - Unknown key in configuration: game
0.00.317.266 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.318.980 W srv  llama_server: -----------------
0.00.318.987 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.318.995 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.318.999 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.318.999 W srv  llama_server: -----------------
0.00.320.397 I srv    load_model: loading model '/mnt/dados/Assistente Pessoal/modelos LLM/Llama-3.2-1B-Instruct-IQ4_XS.gguf'
0.14.807.514 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.14.816.554 I srv  llama_server: model loaded
0.14.816.567 I srv  llama_server: listening on http://127.0.0.1:9088
60.14.395.954 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
60.14.396.294 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
60.14.999.252 I slot print_timing: id  0 | task 0 | prompt eval time =     307.66 ms /    51 tokens (    6.03 ms per token,   165.77 tokens per second)
60.14.999.259 I slot print_timing: id  0 | task 0 |        eval time =     295.25 ms /    42 tokens (    7.03 ms per token,   142.25 tokens per second)
60.14.999.260 I slot print_timing: id  0 | task 0 |       total time =     602.91 ms /    93 tokens
60.14.999.265 I slot print_timing: id  0 | task 0 |    graphs reused =         41
60.14.999.856 I slot      release: id  0 | task 0 | stop processing: n_tokens = 92, truncated = 0
77.15.344.051 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 110493749735
77.15.352.259 I slot launch_slot_: id  0 | task 43 | processing task, is_child = 0
77.15.587.478 I slot print_timing: id  0 | task 43 | prompt eval time =     235.15 ms /    24 tokens (    9.80 ms per token,   102.06 tokens per second)
77.15.587.493 I slot print_timing: id  0 | task 43 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token, 1000000.00 tokens per second)
77.15.587.495 I slot print_timing: id  0 | task 43 |       total time =     235.15 ms /    25 tokens
77.15.587.498 I slot print_timing: id  0 | task 43 |    graphs reused =         41
77.15.588.533 I slot      release: id  0 | task 43 | stop processing: n_tokens = 25, truncated = 0
77.15.610.333 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 111514338412
77.15.616.147 I slot launch_slot_: id  0 | task 45 | processing task, is_child = 0
77.16.832.219 I slot print_timing: id  0 | task 45 | prompt eval time =      79.87 ms /    44 tokens (    1.82 ms per token,   550.90 tokens per second)
77.16.832.244 I slot print_timing: id  0 | task 45 |        eval time =    1136.08 ms /   100 tokens (   11.36 ms per token,    88.02 tokens per second)
77.16.832.246 I slot print_timing: id  0 | task 45 |       total time =    1215.95 ms /   144 tokens
77.16.832.249 I slot print_timing: id  0 | task 45 |    graphs reused =        139
77.16.833.112 I slot      release: id  0 | task 45 | stop processing: n_tokens = 144, truncated = 0
77.16.871.000 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 111515582991
77.16.882.274 I slot launch_slot_: id  0 | task 146 | processing task, is_child = 0
77.17.857.444 I slot print_timing: id  0 | task 146 | prompt eval time =      41.29 ms /    39 tokens (    1.06 ms per token,   944.54 tokens per second)
77.17.857.455 I slot print_timing: id  0 | task 146 |        eval time =     933.79 ms /   120 tokens (    7.78 ms per token,   128.51 tokens per second)
77.17.857.456 I slot print_timing: id  0 | task 146 |       total time =     975.08 ms /   159 tokens
77.17.857.458 I slot print_timing: id  0 | task 146 |    graphs reused =        257
77.17.857.929 I slot      release: id  0 | task 146 | stop processing: n_tokens = 159, truncated = 0
77.17.874.007 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 111516607809
77.17.878.980 I slot launch_slot_: id  0 | task 267 | processing task, is_child = 0
77.19.494.068 I slot print_timing: id  0 | task 267 | prompt eval time =     122.58 ms /    56 tokens (    2.19 ms per token,   456.83 tokens per second)
77.19.494.095 I slot print_timing: id  0 | task 267 |        eval time =    1492.42 ms /   150 tokens (    9.95 ms per token,   100.51 tokens per second)
77.19.494.097 I slot print_timing: id  0 | task 267 |       total time =    1615.00 ms /   206 tokens
77.19.494.103 I slot print_timing: id  0 | task 267 |    graphs reused =        405
77.19.495.786 I slot      release: id  0 | task 267 | stop processing: n_tokens = 206, truncated = 0
77.19.529.212 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 111518245676
77.19.538.012 I slot launch_slot_: id  0 | task 418 | processing task, is_child = 0
77.20.351.538 I slot print_timing: id  0 | task 418 | prompt eval time =      55.14 ms /    21 tokens (    2.63 ms per token,   380.88 tokens per second)
77.20.351.548 I slot print_timing: id  0 | task 418 |        eval time =     758.30 ms /    80 tokens (    9.48 ms per token,   105.50 tokens per second)
77.20.351.549 I slot print_timing: id  0 | task 418 |       total time =     813.43 ms /   101 tokens
77.20.351.551 I slot print_timing: id  0 | task 418 |    graphs reused =        483
77.20.351.866 I slot      release: id  0 | task 418 | stop processing: n_tokens = 101, truncated = 0
77.20.382.632 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 111519101745
77.20.391.817 I slot launch_slot_: id  0 | task 499 | processing task, is_child = 0
77.21.604.272 I slot print_timing: id  0 | task 499 | prompt eval time =      47.27 ms /    48 tokens (    0.98 ms per token,  1015.53 tokens per second)
77.21.604.288 I slot print_timing: id  0 | task 499 |        eval time =    1164.68 ms /   114 tokens (   10.22 ms per token,    97.88 tokens per second)
77.21.604.379 I slot print_timing: id  0 | task 499 |       total time =    1211.95 ms /   162 tokens
77.21.604.392 I slot print_timing: id  0 | task 499 |    graphs reused =        595
77.21.605.342 I slot      release: id  0 | task 499 | stop processing: n_tokens = 162, truncated = 0
